case_id,package,scenario_type,should_trigger,user_prompt,expected_artifacts,expected_events,notes
root_state_refresh,skill-context-keeper,positive,yes,"Rebuild the current root task picture from the repo and update .agent-state/root/TASK_STATE.md before we continue.","root/task_state","root:refresh|root:reconcile|root:compress","root-task refresh trigger for verified state reconciliation"
root_state_compress,skill-context-keeper,positive,yes,"The root task state is bloated; compress it and move stale detail out of active state without creating a packet-only handoff.","root/task_state","root:refresh|root:reconcile|root:compress","root-state compression trigger"
root_state_refresh_not_needed,skill-context-keeper,negative,no,"Please answer this one-off punctuation question in the README and do nothing else.","none","root:skip|route:other","root-state refresh should not trigger for trivial one-off asks"
subtask_split_from_root,skill-subtask-context,positive,yes,"Split this bounded child task out of the root thread and create local state under .agent-state/subtasks/<slug>/TASK_STATE.md.","subtask/task_state","subtask:split|subtask:refresh|subtask:isolate","subtask isolation trigger from root work"
subtask_resume_from_packet,skill-subtask-context,positive,yes,"Resume the child task from its packet and refresh the subtask-local state without bloating root context.","subtask/task_state","subtask:split|subtask:refresh|subtask:isolate","subtask-local resume trigger"
subtask_state_not_needed,skill-subtask-context,negative,no,"Just refresh the root task state; do not open a separate child task.","none","subtask:skip|route:root_or_packet","subtask package should stay out when no child-task boundary is needed"
packet_root_minimal_injection,skill-context-packet,positive,yes,"Compress the next root turn into a minimal packet at .agent-state/root/PACKET.md instead of loading the full state file.","root/packet","packet:compose|packet:trim|packet:inject","packet-sized root continuation trigger"
packet_not_needed_for_full_refresh,skill-context-packet,negative,no,"Refresh the full root task state from the codebase; do not compress it into a packet.","none","packet:skip|route:state_or_handoff","packet package should stay out when the user wants full-state refresh"
phase_gate_risky_checkpoint,skill-phase-gate,positive,yes,"Run a checkpoint before and after this risky multi-file refactor so the exit criteria stay explicit.","phase/preflight|phase/postflight","phase:preflight|phase:checkpoint|phase:postflight","optional checkpoint trigger for risky execution"
tiny_edit_not_gate,skill-phase-gate,negative,no,"Please rename this heading and nothing else.","none","phase:skip|direct:edit","tiny edits should not route to phase-gate"
handoff_subtask_pause,skill-handoff-summary,positive,yes,"I need to pause this child task; write a compact handoff for .agent-state/subtasks/<slug>/HANDOFF.md with blockers and next steps.","subtask/handoff","handoff:capture|handoff:pause|handoff:resume","subtask pause handoff trigger"
handoff_not_needed,skill-handoff-summary,negative,no,"Just give me the final answer; no handoff or status artifact is needed.","none","handoff:skip|direct:answer","handoff package should stay out when no continuation artifact is requested"
suite_bootstrap_protocol,skill-task-continuity,positive,yes,"Bootstrap the context protocol in this repo and route me between root state, subtasks, packets, checkpoints, and handoffs.","suite/agents|suite/index|root/task_state|root/packet|root/handoff|subtask/task_state|subtask/packet|subtask/handoff","suite:bootstrap|suite:route|suite:explain","protocol bootstrap and composition trigger"
suite_boundary_clean,skill-task-continuity,negative,no,"This is just a one-line README fix, even if I mentioned root state, subtasks, packets, and handoffs in passing.","none","suite:skip|direct:edit","composition package should stay out of trivial edits even when keywords appear"
